term_id,name,slug,count
15,"Sin categorizar",sin-categorizar,2
66,"Gimnasios al aire libre",gimnasios-al-aire-libre,104
70,"Juegos infantiles",juegos-infantiles,170
77,"Mobiliario Urbano",mobiliario-urbano,158
113,"Diseño y ambientación",ambientacion-y-diseno,0
122,Superficies,superficies,30
138,"Productos Nuevos",productos-nuevos,17
320,Deportivo,deportivo,10
341,108,108,0
342,84,84,0
343,75,75,0
344,79,79,0
345,74,74,0
346,92,92,0
347,78,78,0
348,338,338,0
349,340,340,0
350,72,72,0
351,107,107,0
352,76,76,0
